cycle,capacity
1,1.89105229539079
2,1.880637027686859
3,1.8806626717011388
4,1.8807709009833444
5,1.8794508728285058
6,1.8807003517117404
7,1.8799352523566075
8,1.8815088124038797
9,1.8696907870385844
10,1.870052380139199
11,1.8700442394188577
12,1.8596518987766364
13,1.8590746560862206
14,1.8590084577709232
15,1.8593622586957048
16,1.8587355450601035
17,1.847817291322145
18,1.8485252916137047
19,1.848378951850034
20,1.8807805437609766
21,1.8814721597443598
22,1.8810954313244785
23,1.8710089649779995
24,1.8701995151941375
25,1.8706715362800985
26,1.8596124644020169
27,1.860033909718346
28,1.8591653109160768
29,1.8481398178778288
30,1.849201702126164
31,1.8834677437950846
32,1.8628211117905844
33,1.852085039652352
34,1.8469504648208708
35,1.836828431169018
36,1.8371619619672275
37,1.8316722583718854
38,1.8211470951317783
39,1.816506091511515
40,1.8113815601504555
41,1.8116056333939583
42,1.8060548955557403
43,1.8132041826994056
44,1.8062641938283535
45,1.7958310249900458
46,1.7858852600390451
47,1.7803268604502753
48,1.8150756899575577
49,1.8157025154845838
50,1.8002432178056673
51,1.7904476205609308
52,1.780343032300132
53,1.775328769596812
54,1.7702629734732853
55,1.760081061854204
56,1.749647593537689
57,1.749650075059311
58,1.745028739214683
59,1.7396457455286727
60,1.7285642277717963
61,1.723900324588418
62,1.7139788776485192
63,1.7139701997004613
64,1.7036521173638766
65,1.7040137474382486
66,1.6935716157343033
67,1.6876577363877656
68,1.6830744356583152
69,1.6779270142025482
70,1.6732060275966172
71,1.6674367208253988
72,1.6622662630667526
73,1.6574243065763063
74,1.652538684928734
75,1.6472174627573322
76,1.6364136810898071
77,1.6362554312048496
78,1.641119179218384
79,1.6315700789656966
80,1.621213282987236
81,1.6164273214762122
82,1.615823510161921
83,1.61672418029789
84,1.6108655863730026
85,1.6006603374309376
86,1.5959174487005663
87,1.5962179519462243
88,1.5958065114633972
89,1.5906507821480704
90,1.6888211161855506
91,1.6259938279733204
92,1.6157433862812898
93,1.6056626764846538
94,1.5949746921524348
95,1.5904102438871945
96,1.5853517062988178
97,1.5799737147242376
98,1.5752185465278068
99,1.569798484648868
100,1.5702565375950357
101,1.565249873909438
102,1.559633933561147
103,1.5649820533392105
104,1.57497949984227
105,1.5652811168780458
106,1.559755497470126
107,1.549897685670499
108,1.5438771531345021
109,1.5450187488690073
110,1.5445940154102908
111,1.5343086721758876
112,1.5287603942958483
113,1.5289260249179843
114,1.529091650133123
115,1.5239059324661248
116,1.5186675419100615
117,1.5136482266426952
118,1.5136050185229033
119,1.5139470614867965
120,1.5339599193158786
121,1.5391372798653098
122,1.5236247972838737
123,1.5135813035589147
124,1.5077850749847914
125,1.5031960676037333
126,1.4978220596995881
127,1.492848534633516
128,1.492414389867026
129,1.487482776538081
130,1.482535148640411
131,1.4827874322228984
132,1.476971179775059
133,1.4819015554137276
134,1.4981366198874824
135,1.4820775214392872
136,1.4771155312812152
137,1.4720772783056488
138,1.472248013656454
139,1.4670106672274665
140,1.4617672495335379
141,1.4566952670489708
142,1.451354972758956
143,1.451615926257375
144,1.4468161332173683
145,1.4467570607768785
146,1.4413797481446793
147,1.4362456252208178
148,1.4368154153924828
149,1.4362945145860047
150,1.4418575315878015
151,1.4672063484781797
152,1.4518640367848885
153,1.4471379752748499
154,1.441790586562399
155,1.431630947911111
156,1.4318084249673686
157,1.4262562585106868
158,1.4260877528924913
159,1.4212633510031694
160,1.4163272748795108
161,1.4165781829175994
162,1.4108401729425177
163,1.4109949628347804
164,1.4061714290398801
165,1.4063358479692922
166,1.4004552399066514
167,1.4217865046055154
168,1.4324552720625434
