cycle,capacity
1,2.035337591005598
2,2.0251402460314116
3,2.013326371345464
4,2.0132846655407413
5,2.000528337624771
6,2.0138990759931645
7,2.013101105626967
8,1.9687898262728398
9,1.9681661764334244
10,1.9572307917560536
11,1.9455991514129352
12,1.9347505044841131
13,1.9232799539368028
14,1.911889930948487
15,1.9010667141979305
16,1.8891989948061458
17,1.878278372248849
18,1.8675697161520206
19,1.8675892574453767
20,1.979626548250818
21,1.9575499080884022
22,1.9458150170787551
23,1.9242461121680094
24,1.9459811331421641
25,1.901407930553079
26,1.878674213680085
27,1.8683061328264219
28,1.8560244070082998
29,1.8451997961855777
30,1.857228890885317
31,1.9247760889090635
32,1.8822317526092551
33,1.855276687885587
34,1.8392508917181876
35,1.8185396073994429
36,1.8134770059567056
37,1.7971018450305436
38,1.7810046294120476
39,1.7710130422682329
40,1.7604712448170943
41,1.7502913788006587
42,1.7394925037732578
43,1.7546766553637203
44,1.7659390941842175
45,1.7337887419624838
46,1.713325912040734
47,1.7024077813673466
48,1.82371946178183
49,1.8081284050314708
50,1.7757610945034283
51,1.7447409841836798
52,1.729207034132373
53,1.7081086552553244
54,1.6975954237461768
55,1.6820634524029463
56,1.6714768322295086
57,1.6607591387047655
58,1.651121015038069
59,1.6401349256190927
60,1.6291999416165441
61,1.6088496302961666
62,1.6035244898969248
63,1.5989712144027983
64,1.5876273123575604
65,1.5829719744686166
66,1.567137636713563
67,1.5613446139713882
68,1.5511711892790419
69,1.5406741606295171
70,1.5253138744624433
71,1.5301570318067428
72,1.5246566834474087
73,1.5145492986655427
74,1.509391504602082
75,1.5039974333050705
76,1.4935201918040188
77,1.4876323024497422
78,1.5302876214401704
79,1.5040760088360112
80,1.4887593608730894
81,1.4782779285546637
82,1.478459982215684
83,1.473214844899973
84,1.4675164935067897
85,1.4516292657521335
86,1.4519237720967177
87,1.4471484694777745
88,1.4468538105659885
89,1.4416741930284678
90,1.5935866593100128
91,1.5463902376915637
92,1.51470559175661
93,1.4989786083335404
94,1.4831110745410492
95,1.4729664825468278
96,1.4627604396099307
97,1.4518364681062514
98,1.4468670644030392
99,1.441380399427779
100,1.431210744960774
101,1.4260247179525716
102,1.420487649966195
103,1.4207006230355006
104,1.452255804330839
105,1.431557632772571
106,1.415015751158943
107,1.4097311506517451
108,1.404917318129309
109,1.395164296571563
110,1.3945343832614077
111,1.3893171179312644
112,1.3838379472327809
113,1.3736814238195123
114,1.3786059891863676
115,1.3737600299108574
116,1.3682580583942712
117,1.3633024037317505
118,1.3580966140172601
119,1.353269090999531
120,1.3841605738237488
121,1.4051467790651473
122,1.378719022627353
123,1.3682657783199066
124,1.3573151296618016
125,1.3524934638801596
126,1.3474099151661236
127,1.3370075130842318
128,1.3312352966718526
129,1.3259303781727643
130,1.321578743867529
131,1.321225074066109
132,1.3156485301862682
133,1.3209025697502388
134,1.3474328767273906
135,1.3260128072353616
136,1.3101186784831063
137,1.30521620229393
138,1.3004061951355774
139,1.300235735841116
140,1.2895066722480755
141,1.279253057384795
142,1.2792078171714618
143,1.274036760902923
144,1.2741273923001468
145,1.2637639426440779
146,1.2581373688955233
147,1.253259864055301
148,1.2532313315493426
149,1.2480874960313577
150,1.2534354284944844
151,1.2898048773266901
152,1.2635402021758835
153,1.2479761706842853
154,1.2321202877943334
155,1.2271137666213534
156,1.2217397581377356
157,1.211102678915174
158,1.2056159765131735
159,1.2008936262717274
160,1.1905903985558335
161,1.185179251041941
162,1.1796706818144624
163,1.1745952836753915
164,1.15381833159625
165,1.1644009557372264
166,1.1587974947916069
167,1.1749748834769171
168,1.1856752327929356
